symbol,mcap_cr,current_price
MAHLOG,3974.07,400.3
NOVARTIND,3985.34,1614.1
KOLTEPATIL,3986.61,449.55
AHLUCONT,3988.77,595.45
COCKERILL,3989.75,8080.0
TVSSRICHAK,4020.73,5249.0
GHCL,4031.18,437.55
WHEELS,4042.2,1654.4
RESPONIND,4048.98,151.87
UNIPARTS,4064.04,899.9
RALLIS,4080.54,209.83
INDIQUBE,4093.46,193.09
HARSHA,4106.54,451.05
INDOSTAR,4136.44,255.88
KSL,4147.91,950.2
AVANTEL,4158.37,156.5
PITTIENG,4161.1,1105.1
MOSCHIP,4165.64,213.57
MHRIL,4200.95,207.91
ROSSTECH,4208.06,1116.3
LASERPOWER,4225.79,301.05
NETWORK18,4248.21,27.55
DECNGOLD,4248.24,213.8
TURTLEMINT,4249.04,144.29
EMUDHRA,4304.97,519.85
SHOPERSTOP,4314.0,391.45
SWARAJENG,4318.91,3554.7
WSTCSTPAPR,4339.15,656.95
WPIL,4351.23,445.5
NRBBEARING,4371.69,451.05
SUNTECK,4372.22,297.75
HIRECT,4381.97,1235.8
SWSOLAR,4385.67,187.79
RPGLIFE,4386.81,2652.4
HAWKINCOOK,4389.11,8297.0
GUFICBIO,4405.91,439.35
VIPIND,4408.64,310.35
AYE,4457.2,180.61
SGFIN,4459.77,676.8
GVPIL,4462.22,663.75
SHANTIGEAR,4471.0,582.8
MPSLTD,4482.75,2620.6
DHANUKA,4503.08,1010.15
GREAVESCOT,4537.43,194.78
SEAMECLTD,4542.43,1786.6
DATAMATICS,4579.86,774.85
ROLEXRINGS,4586.37,174.83
PTC,4595.53,155.25
SUBROS,4604.67,705.85
TEXRAIL,4623.2,113.63
SHILCTECH,4623.67,4041.6
VISHNU,4634.32,688.45
ELLEN,4657.22,330.45
GOODLUCK,4680.65,469.4
PNCINFRA,4693.9,182.97
SURYAROSNI,4715.3,216.66
ICRA,4718.78,4889.3
KDDL,4741.74,3855.3
TEMPSENS,4766.31,568.55
DEEPINDS,4767.04,744.85
AGI,4801.84,742.2
FOSECOIND,4803.12,6372.5
RUSTOMJEE,4819.62,381.75
PILANIINVS,4821.41,4354.5
GMMPFAUDLR,4826.16,1073.5
JINDWORLD,4827.53,48.15
BOSCH-HCIL,4833.57,1777.7
JUNIPER,4843.65,217.69
BANARISUG,4858.76,3874.7
DEEDEV,4859.72,645.9
LXCHEM,4879.63,175.58
JAMNAAUTO,4881.42,122.04
YASHO,4884.57,4051.2
NORTHARC,4924.28,304.6
UFLEX,4958.76,686.7
WAKEFIT,4962.74,149.64
BANSALWIRE,4994.13,319.0
