symbol,snapshot_dates_appeared,most_recent_mcap_cr
UNIPARTS,2026-07-16,3142.85
UNIVCABLES,2026-07-16,4153.39
UTKARSHBNK,2026-07-16,2672.83
VADILALIND,2026-07-16,4880.56
VAIBHAVGBL,2026-07-16,4229.97
VEEDOL,2026-07-16,2523.86
VENKEYS,2026-07-16,2082.92
VENUSPIPES,2026-07-16,3765.95
VENUSREM,2026-07-16,2332.62
VERANDA,2026-07-16,2174.79
VIDYAWIRES,2026-07-16,2008.25
VIKRAN,2026-07-16,1887.4
VIMTALABS,2026-07-16,2516.86
VINCOFE,2026-07-16,2336.98
VINDHYATEL,2026-07-16,2183.53
VINYAS,2026-07-16,1696.42
VIPIND,2026-07-16,4218.93
VISHNU,2026-07-16,4176.58
VMARCIND,2026-07-16,4149.56
VOEPL,2026-07-16,1502.33
VRLLOG,2026-07-16,4022.33
VSSL,2026-07-16,2883.68
VSTIND,2026-07-16,3989.15
VSTTILLERS,2026-07-16,3983.68
WAAREEINDO,2026-07-16,1613.6
WAKEFIT,2026-07-16,4324.54
WALCHANNAG,2026-07-16,1692.65
WEBELSOLAR,2026-07-16,4315.62
WELSPLSOL,2026-07-16,3539.67
WENDT,2026-07-16,1557.81
WHEELS,2026-07-16,3621.45
WINDLAS,2026-07-16,1755.22
WINDMACHIN,2026-07-16,3178.19
WONDERLA,2026-07-16,2983.1
WPIL,2026-07-16,4428.09
WSTCSTPAPR,2026-07-16,3476.86
XPROINDIA,2026-07-16,3283.61
YASHO,2026-07-16,3622.93
YATRA,2026-07-16,1718.59
ZAGGLE,2026-07-16,2830.22
ZOTA,2026-07-16,4744.67
UGROCAP,2026-07-19,1502.1
GNRL,2026-07-19,1524.36
VIDHIING,2026-07-19,1531.81
RPTECH,2026-07-19,4840.0
NORTHARC,2026-07-19,4875.41
LGBBROSLTD,2026-07-19,4936.95
EMIL,2026-07-19,4954.41
NACLIND,2026-07-19,4999.92
SHRIRAMPPS,2026-07-20,1525.29
INDOBORAX,2026-07-20,1544.09
SDBL,2026-07-20,1564.29
AEROPLANE,2026-07-20,1933.31
DATAMATICS,2026-07-20,4964.64
GULFOILLUB,2026-07-20,4975.12
